"quiz","condition","ci_low","ci_high"
"quiz 1","all_questions",1.13654590679152,3.00188436809306
"quiz 1","lec1_within",1.64349258039287,3.63771025775095
"quiz 1","lec2_within",1.07504970210452,3.22205090054938
"quiz 1","lec1_across",-0.870233685374447,2.20700388335606
"quiz 1","lec2_across",-1.10127337771732,1.92208305057405
"quiz 2","all_questions",1.60469353315233,3.68405102991119
"quiz 2","lec1_within",1.63169130956931,4.81921553443349
"quiz 2","lec2_within",0.703582454568937,2.28690490548362
"quiz 2","lec1_across",-0.302420867710348,2.5532715658561
"quiz 2","lec2_across",-0.340870719411517,1.72687447496419
"quiz 3","all_questions",2.34420171010228,4.67418012062923
"quiz 3","lec1_within",-0.322671782949752,2.12420586228782
"quiz 3","lec2_within",1.20972721900787,3.975287793851
"quiz 3","lec1_across",0.318093677482598,3.86585756235614
"quiz 3","lec2_across",0.0746178963865809,3.80396590789878
